r	D(r)_75C	D(r)_25C
8.15	-0.07315	-0.1066
8.16	-0.06947	-0.10696
8.17	-0.06589	-0.10738
8.18	-0.06247	-0.10774
8.19	-0.05921	-0.10794
8.2	-0.05613	-0.10789
8.21	-0.05324	-0.1075
8.22	-0.05055	-0.10669
8.23	-0.04805	-0.10541
8.24	-0.04572	-0.10361
8.25	-0.04356	-0.10129
8.26	-0.04152	-0.09844
8.27	-0.03957	-0.0951
8.28	-0.03769	-0.09132
8.29	-0.03584	-0.08716
8.3	-0.03396	-0.08272
8.31	-0.03201	-0.07811
8.32	-0.02996	-0.07342
8.33	-0.02777	-0.06879
8.34	-0.02539	-0.06432
8.35	-0.0228	-0.06013
8.36	-0.01997	-0.05632
8.37	-0.01688	-0.05297
8.38	-0.01351	-0.05016
8.39	-0.00987	-0.04793
8.4	-0.00596	-0.04631
8.41	-0.00179	-0.04528
8.42	0.00262	-0.04482
8.43	0.00724	-0.04488
8.44	0.01203	-0.04537
8.45	0.01696	-0.04621
8.46	0.02196	-0.04727
8.47	0.027	-0.04844
8.48	0.03202	-0.04958
8.49	0.03698	-0.05057
8.5	0.04181	-0.05127
8.51	0.04648	-0.05157
8.52	0.05094	-0.05137
8.53	0.05515	-0.05058
8.54	0.0591	-0.04914
8.55	0.06274	-0.04702
8.56	0.06609	-0.0442
8.57	0.06912	-0.04071
8.58	0.07185	-0.03659
8.59	0.07429	-0.0319
8.6	0.07646	-0.02676
8.61	0.0784	-0.02125
8.62	0.08013	-0.01551
8.63	0.08169	-0.00967
8.64	0.08314	-0.00388
8.65	0.0845	0.00175
8.66	0.08582	0.00706
8.67	0.08714	0.01196
8.68	0.08848	0.01633
8.69	0.08989	0.0201
8.7	0.09137	0.02321
8.71	0.09293	0.02563
8.72	0.09459	0.02735
8.73	0.09634	0.0284
8.74	0.09815	0.02882
8.75	0.10001	0.02867
8.76	0.10189	0.02805
8.77	0.10373	0.02705
8.78	0.10551	0.0258
8.79	0.10717	0.02441
8.8	0.10865	0.023
8.81	0.10992	0.02169
8.82	0.11092	0.02059
8.83	0.1116	0.01978
8.84	0.11192	0.01936
8.85	0.11184	0.01938
8.86	0.11134	0.01988
8.87	0.1104	0.02086
8.88	0.10901	0.02232
8.89	0.10716	0.02422
8.9	0.10487	0.02652
8.91	0.10214	0.02913
8.92	0.09902	0.03198
8.93	0.09553	0.03496
8.94	0.09171	0.03796
8.95	0.0876	0.04089
8.96	0.08326	0.04364
8.97	0.07873	0.04611
8.98	0.07407	0.04821
8.99	0.06932	0.04986
9	0.06453	0.05102
9.01	0.05975	0.05164
9.02	0.05501	0.05171
9.03	0.05035	0.05123
9.04	0.0458	0.05023
9.05	0.04137	0.04875
9.06	0.03708	0.04685
9.07	0.03294	0.04461
9.08	0.02896	0.04211
9.09	0.02514	0.03945
9.1	0.02146	0.03673
9.11	0.01794	0.03404
9.12	0.01455	0.03148
9.13	0.01129	0.02912
9.14	0.00814	0.02705
9.15	0.00511	0.02531
9.16	0.00218	0.02396
9.17	-6.52479E-4	0.02301
9.18	-0.00339	0.02247
9.19	-0.00602	0.02233
9.2	-0.00855	0.02255
9.21	-0.01098	0.0231
9.22	-0.01328	0.02391
