Wavenumber,Intensity
953.7326,0.042356
953.9655,0.042437
954.1985,0.042549
954.4314,0.042705
954.6644,0.042905
954.8974,0.043142
955.1303,0.043399
955.3633,0.043664
955.5962,0.043934
955.8292,0.044216
956.0622,0.044523
956.2951,0.044865
956.5281,0.045242
956.7610,0.045645
956.9940,0.046058
957.2269,0.046469
957.4599,0.046873
957.6929,0.047275
957.9258,0.047682
958.1588,0.048096
958.3917,0.048508
958.6247,0.048899
958.8577,0.049250
959.0906,0.049543
959.3236,0.049775
959.5565,0.049953
959.7895,0.050087
960.0225,0.050183
960.2554,0.050234
960.4884,0.050226
960.7213,0.050139
960.9543,0.049960
961.1872,0.049691
961.4202,0.049341
961.6532,0.048930
961.8861,0.048474
962.1191,0.047978
962.3520,0.047444
962.5850,0.046868
962.8180,0.046257
963.0509,0.045627
963.2839,0.045005
963.5168,0.044419
963.7498,0.043887
963.9827,0.043414
964.2157,0.042988
964.4487,0.042590
964.6816,0.042203
964.9146,0.041823
965.1475,0.041459
965.3805,0.041126
965.6135,0.040836
965.8464,0.040591
966.0794,0.040380
966.3123,0.040186
966.5453,0.039994
966.7783,0.039797
967.0112,0.039600
967.2442,0.039414
967.4771,0.039247
967.7101,0.039099
967.9430,0.038959
968.1760,0.038814
968.4090,0.038653
968.6419,0.038477
968.8749,0.038297
969.1078,0.038130
969.3408,0.037991
969.5738,0.037882
969.8067,0.037796
970.0397,0.037718
970.2726,0.037636
970.5056,0.037548
970.7385,0.037463
970.9715,0.037395
971.2045,0.037357
971.4374,0.037352
971.6704,0.037376
971.9033,0.037417
972.1363,0.037468
972.3693,0.037527
972.6022,0.037604
972.8352,0.037707
973.0681,0.037844
973.3011,0.038012
973.5341,0.038197
973.7670,0.038385
974.0000,0.038563
974.2329,0.038735
