************************************************************************
Output generated by CrystalDiffract 7 for macOS                         
Copyright (c) 1996-2026 CrystalMaker Software Limited (crystalmaker.com)
************************************************************************
This file looks best in a non-proportional font, e.g., Courier

  h   k   l   d(hkl)    2-Theta     Intensity  I/Imax   m     N        Lp
  5   1  -5   1.98853   45.5789   1.38190e-02    0.9%   2    51     2.693
 -5   1   5   1.98853   45.5789   1.38190e-02    0.9%   2    51     2.693
 -4   1   6   1.98447   45.6775   2.68201e-02    1.8%   2    53     2.680
  4   1  -6   1.98447   45.6775   2.68201e-02    1.8%   2    53     2.680
  5   2  -3   1.98291   45.7154   2.24898e-02    1.5%   2    38     2.675
 -5   2   3   1.98291   45.7154   2.24898e-02    1.5%   2    38     2.675
 -1   3   4   1.98120   45.7572   6.56597e-03    0.4%   2    26     2.669
  1   3  -4   1.98120   45.7572   6.56597e-03    0.4%   2    26     2.669
  3   3  -3   1.97973   45.7930   2.94714e-03    0.2%   2    27     2.664
 -3   3   3   1.97973   45.7930   2.94714e-03    0.2%   2    27     2.664
  5   2   0   1.97635   45.8759   1.17806e-02    0.8%   4    29     2.654
  5   1   2   1.97319   45.9536   2.83887e-02    1.9%   2    30     2.643
  5  -1   2   1.97319   45.9536   2.83887e-02    1.9%   2    30     2.643
  2   0  -7   1.97135   45.9989   7.29839e-03    0.5%   2    53     2.637
  6   1  -2   1.96582   46.1358   4.21689e-02    2.8%   2    41     2.620
 -6   1   2   1.96582   46.1358   4.21689e-02    2.8%   2    41     2.620
  3   0   5   1.96420   46.1761   4.00059e-06    0.0%   2    34     2.615
  6   0   0   1.96394   46.1826   6.23879e-03    0.4%   2    36     2.614
  1   0  -7   1.96000   46.2806   1.93890e-03    0.1%   2    50     2.601
  0   3   4   1.95509   46.4038   2.78687e-02    1.9%   2    25     2.586
  0   3  -4   1.95509   46.4038   2.78687e-02    1.9%   2    25     2.586
  4   0   4   1.95322   46.4506   1.35673e-05    0.0%   2    32     2.580
 -2   3   4   1.95247   46.4696   1.28008e-03    0.1%   2    29     2.577
  2   3  -4   1.95247   46.4696   1.28008e-03    0.1%   2    29     2.577
 -4   2   5   1.95135   46.4979   4.29647e-03    0.3%   2    45     2.574
  4   2  -5   1.95135   46.4979   4.29647e-03    0.3%   2    45     2.574
  6   1  -1   1.95051   46.5191   1.41209e-02    1.0%   2    38     2.571
 -6   1   1   1.95051   46.5191   1.41209e-02    1.0%   2    38     2.571
  6   0  -4   1.94028   46.7788   3.29882e-02    2.2%   2    52     2.539
  6   1  -3   1.93882   46.8163   3.59896e-02    2.4%   2    46     2.534
 -6   1   3   1.93882   46.8163   3.59896e-02    2.4%   2    46     2.534
 -1   2   6   1.93848   46.8249   3.93834e-03    0.3%   2    41     2.533
  1   2  -6   1.93848   46.8249   3.93834e-03    0.3%   2    41     2.533
 -2   2   6   1.93657   46.8739   1.31629e-02    0.9%   2    44     2.527
  2   2  -6   1.93657   46.8739   1.31629e-02    0.9%   2    44     2.527
  3   0  -7   1.92902   47.0684   1.19378e-02    0.8%   2    58     2.504
  2   3   3   1.91800   47.3553   2.45401e-02    1.7%   2    22     2.469
  2  -3   3   1.91800   47.3553   2.45401e-02    1.7%   2    22     2.469
  3   2   4   1.91171   47.5207   1.07781e-02    0.7%   2    29     2.450
  3  -2   4   1.91171   47.5207   1.07781e-02    0.7%   2    29     2.450
  2   0   6   1.90697   47.6462   2.23952e-02    1.5%   2    40     2.435
